Date,Open,High,Low,Close,Adj Close,Volume
2019-09-16,2731.000000,2762.600098,2703.100098,2725.300049,2725.300049,818425
2019-09-17,2735.000000,2762.399902,2730.600098,2738.050049,2738.050049,468543
2019-09-18,2739.800049,2761.949951,2715.149902,2743.649902,2743.649902,364302
2019-09-19,2740.100098,2748.199951,2708.649902,2732.550049,2732.550049,463919
2019-09-20,2738.000000,2862.000000,2711.050049,2837.800049,2837.800049,766105
2019-09-23,2840.000000,2840.000000,2701.000000,2767.250000,2767.250000,929038
2019-09-24,2766.699951,2845.000000,2715.000000,2785.250000,2785.250000,679650
2019-09-25,2750.149902,2784.000000,2750.149902,2773.350098,2773.350098,491430
2019-09-26,2790.000000,2795.899902,2742.949951,2774.850098,2774.850098,504812
2019-09-27,2782.000000,2786.000000,2720.500000,2730.800049,2730.800049,468966
2019-09-30,2734.000000,2742.550049,2690.399902,2702.250000,2702.250000,549806
2019-10-01,2690.000000,2720.000000,2644.899902,2689.350098,2689.350098,972020
2019-10-03,2679.800049,2684.449951,2636.000000,2677.149902,2677.149902,297000
2019-10-04,2687.000000,2699.000000,2611.350098,2617.699951,2617.699951,444204
2019-10-07,2630.000000,2645.000000,2576.250000,2616.449951,2616.449951,519253
2019-10-09,2624.750000,2676.000000,2600.300049,2663.399902,2663.399902,466444
2019-10-10,2626.149902,2666.899902,2612.050049,2633.500000,2633.500000,288141
2019-10-11,2645.000000,2659.000000,2607.000000,2651.399902,2651.399902,546907
2019-10-14,2652.000000,2682.600098,2621.000000,2651.899902,2651.899902,301437
2019-10-15,2662.000000,2696.899902,2654.550049,2684.649902,2684.649902,342159
2019-10-16,2711.000000,2728.399902,2687.000000,2701.449951,2701.449951,327837
2019-10-17,2711.000000,2734.000000,2699.000000,2727.399902,2727.399902,305014
2019-10-18,2720.000000,2744.949951,2710.050049,2724.850098,2724.850098,289279
2019-10-22,2722.250000,2820.699951,2710.850098,2810.750000,2810.750000,699344
2019-10-23,2806.800049,2841.949951,2755.050049,2826.699951,2826.699951,979592
2019-10-24,2839.750000,2849.949951,2770.000000,2825.300049,2825.300049,602632
2019-10-25,2824.000000,2824.000000,2779.949951,2794.949951,2794.949951,500795
2019-10-27,2779.000000,2793.000000,2775.000000,2785.600098,2785.600098,22603
2019-10-29,2775.000000,2820.000000,2753.449951,2802.500000,2802.500000,533768
2019-10-30,2829.000000,2829.000000,2741.550049,2759.899902,2759.899902,593147
2019-10-31,2779.899902,2814.899902,2770.100098,2783.199951,2783.199951,720238
2019-11-01,2784.000000,2829.149902,2735.850098,2756.600098,2756.600098,3000855
2019-11-04,2765.250000,2810.000000,2748.550049,2797.800049,2797.800049,808849
2019-11-05,2793.800049,2849.500000,2792.000000,2815.699951,2815.699951,843662
2019-11-06,2820.100098,2880.000000,2820.100098,2862.699951,2862.699951,900469
2019-11-07,2862.000000,2883.199951,2829.000000,2871.050049,2871.050049,441155
2019-11-08,2860.000000,2860.000000,2812.300049,2822.100098,2822.100098,318986
2019-11-11,2812.350098,2827.350098,2795.000000,2815.750000,2815.750000,306664
2019-11-13,2820.000000,2823.850098,2755.000000,2763.149902,2763.149902,456683
2019-11-14,2775.000000,2777.350098,2724.949951,2734.050049,2734.050049,648568
2019-11-15,2748.000000,2748.000000,2712.300049,2730.800049,2730.800049,378845
2019-11-18,2733.000000,2759.000000,2732.000000,2737.000000,2737.000000,422773
2019-11-19,2741.000000,2760.449951,2724.500000,2743.000000,2743.000000,476925
2019-11-20,2746.350098,2863.949951,2745.000000,2838.649902,2838.649902,997976
2019-11-21,2828.000000,2890.000000,2810.199951,2879.250000,2879.250000,958939
2019-11-22,2855.000000,2904.750000,2843.000000,2871.250000,2871.250000,549551
2019-11-25,2860.000000,2936.000000,2850.050049,2920.649902,2920.649902,468795
2019-11-26,2920.250000,2975.000000,2907.149902,2965.850098,2965.850098,1056168
2019-11-27,2960.000000,2991.949951,2942.300049,2972.000000,2972.000000,558515
2019-11-28,2968.100098,2982.600098,2943.050049,2976.750000,2976.750000,256436
2019-11-29,2974.699951,2974.699951,2895.300049,2913.850098,2913.850098,560397
